,,F,F,F,F,M,M,M,M
,,guess,lapse,slope,threshold,guess,lapse,slope,threshold
G,G008,0.0686193621525,-0.0273437482928,10.9943087801,0.492434850005,0.00954340507351,0.0339654364117,10.5413058541,0.433264322035
G,G009,0.0364301599883,-0.0794221871902,4.89733015099,0.343235825335,0.201730944677,-0.0323660948259,6.62781531094,0.370897381058
G,G010,-0.00346607787658,0.025064988743,14.8475294094,0.514630301939,-0.0542573307915,-0.0410774061501,6.11312436972,0.443966429762
G,G012,0.197225021676,0.156465877142,12.0894116616,0.643545231857,0.378933753892,-0.0241319607291,5.50714876362,0.614405751173
G,G014,0.230684860634,0.0610833047967,17.4398922661,0.539931678474,-0.0422200209954,-0.0647598291369,4.88605357822,0.435133858447
G,G015,0.377338424842,-0.00229154001073,12.4680091319,0.546173926564,0.430198790768,0.0342475480332,8.47654262168,0.448189598863
G,G017,0.01080669812,0.0335622707421,19.5965309081,0.492148031513,0.0239687748905,0.0201121618456,9.64701361546,0.454699468175
G,G018,-0.100163301961,-0.223582631875,3.75078135426,0.620535423236,0.190004457909,0.109150370812,9.18035432046,0.564289433756
G,G019,0.054756197397,0.034685310447,7.25869646465,0.644480837463,0.0534034419014,0.0445816626223,7.15774028685,0.488310606922
G,G020,0.0532457450393,0.0794781863599,17.0002238671,0.627526207836,-0.00579750960035,-0.0439368976865,6.31871759823,0.536445110503
G,G021,0.199106719888,0.1244457437,11.6922462948,0.464503407725,0.0442390470171,0.0607555574854,5.88111337689,0.246336875909
G,G022,0.169603040522,-0.03166701481,6.67510343338,0.365827393703,0.444551276628,0.00242837192399,7.52798013563,0.268755488515
G,G023,0.145304455962,-0.0761968116619,5.66043656363,0.686840269783,0.114286303646,-0.0727891649575,5.32256602441,0.474346451535
G,G024,0.230134289064,-0.00073912211754,15.5013476327,0.450643229908,0.210413263557,0.0415988504329,16.1927989636,0.410190247601
G,G026,0.0956127004655,0.0476227362799,8.08939688487,0.519577782344,0.19607744369,0.0016763013762,7.17849081845,0.580321765155
